iter	RMSE
0	5.369524842
1	5.208127405
2	5.066675588
3	4.945567597
4	4.841798175
5	4.750767124
6	4.67289871
7	4.605285155
8	4.543119662
9	4.488024246
10	4.440128128
11	4.400028068
12	4.364718863
13	4.331774879
14	4.302352057
15	4.276624936
16	4.253385583
17	4.234441107
18	4.216076245
19	4.185096827
20	4.164870237
21	4.148969422
22	4.130416706
23	4.117456721
24	4.106568556
25	4.094304234
26	4.080267047
27	4.070538476
28	4.0578791
29	4.049666919
30	4.038192479
31	4.033341343
32	4.028309744
33	4.020153041
34	4.012712744
35	4.002548726
36	3.997597182
37	3.99180639
38	3.988655288
39	3.984249913
40	3.979985047
41	3.974693283
42	3.968999096
43	3.966237028
44	3.962681358
45	3.956970042
46	3.95205117
47	3.943344063
48	3.938833607
49	3.936536204
50	3.935090874
51	3.930806724
52	3.928523503
53	3.921987056
54	3.920198763
55	3.916482137
56	3.916138876
57	3.914357787
58	3.901700313
59	3.896662434
60	3.887848386
61	3.886355216
62	3.87701878
63	3.866227753
64	3.856666025
65	3.855041432
66	3.851787236
67	3.847311971
68	3.841337272
69	3.840252771
70	3.838387496
71	3.837057466
72	3.835809609
73	3.835612208
74	3.834192858
75	3.832976656
76	3.831703165
77	3.830803187
78	3.821535892
79	3.816285678
80	3.810901087
81	3.806622645
82	3.802425278
83	3.797063004
84	3.796204838
85	3.795569639
86	3.795493197
87	3.793194701
88	3.792177213
89	3.788185116
90	3.787349536
91	3.782237434
92	3.778930761
93	3.773810459
94	3.770577116
95	3.76851751
96	3.764576533
97	3.760318405
98	3.757531438
99	3.755390583
100	3.754459588
101	3.748978552
102	3.745273848
103	3.744481809
104	3.738551758
105	3.734477764
106	3.729638497
107	3.728629016
108	3.724184888
109	3.721874441
110	3.720873536
111	3.718846601
112	3.713760559
113	3.713380632
114	3.712852155
115	3.709460454
116	3.706293996
117	3.703120778
118	3.701891411
119	3.698604689
120	3.69514612
121	3.690997845
122	3.688198438
123	3.685632101
124	3.680727762
125	3.677964324
126	3.675291914
127	3.672140883
128	3.66834968
129	3.667751751
130	3.665378174
131	3.662733152
132	3.659768543
133	3.658828487
134	3.658332207
135	3.657458445
136	3.655020768
137	3.651416939
138	3.650643169
139	3.649931646
140	3.64372465
141	3.640312073
142	3.639138012
143	3.635920194
144	3.632889755
145	3.632078745
146	3.631229301
147	3.630816391
148	3.630123213
149	3.62948122
150	3.628251122
151	3.626982233
152	3.626052051
153	3.623020987
154	3.619503214
155	3.614216885
156	3.613328849
157	3.612530968
158	3.609768521
159	3.607165124
160	3.60640878
161	3.60594182
162	3.605257077
163	3.602760399
164	3.60158758
165	3.601154297
166	3.598818154
167	3.59849885
168	3.596292799
169	3.594464194
170	3.592083698
171	3.588731463
172	3.586229747
173	3.584132632
174	3.583716392
175	3.580665069
176	3.580181905
177	3.576825211
178	3.575757812
179	3.575164663
180	3.572092407
181	3.57152369
182	3.57038072
183	3.566709762
184	3.566378212
185	3.566044402
186	3.565384382
187	3.562515788
188	3.559683938
189	3.558366312
190	3.553309466
191	3.552050583
192	3.547255986
193	3.546687551
194	3.546264237
195	3.541749482
196	3.539788496
197	3.538274322
198	3.53401626
199	3.533146093
200	3.532233229
201	3.531378258
202	3.530743013
203	3.530512737
204	3.528336218
205	3.528147182
206	3.526495555
207	3.523979092
208	3.520028128
209	3.519869534
210	3.51909259
211	3.516793571
212	3.515483539
213	3.51425465
214	3.514071011
215	3.513908676
216	3.512468913
217	3.512397165
218	3.512046519
219	3.510597279
220	3.509190842
221	3.509066497
222	3.507762342
223	3.507391041
224	3.503840937
225	3.503563138
226	3.501598448
227	3.499778392
228	3.499545043
229	3.499305237
230	3.499173375
231	3.49873964
232	3.498618525
233	3.498417772
234	3.498173147
235	3.494544241
236	3.491635122
237	3.490715504
238	3.490603224
239	3.490371067
240	3.490260154
241	3.48855172
242	3.485113841
243	3.48356102
244	3.482786484
245	3.482437311
246	3.478855146
247	3.47871749
248	3.478549086
249	3.478259205
250	3.47546407
251	3.471801576
252	3.471643609
253	3.471494353
254	3.470924137
255	3.468318499
256	3.467042139
257	3.465486479
258	3.46519398
259	3.465049625
260	3.464789698
261	3.464264789
262	3.463168938
263	3.462944997
264	3.462873194
265	3.459422604
266	3.459359414
267	3.458642045
268	3.455346678
269	3.455262444
270	3.454301244
271	3.453912183
272	3.451250131
273	3.450587314
274	3.446612193
275	3.446148499
276	3.444963014
277	3.444676297
278	3.444198069
279	3.443648534
280	3.441336075
281	3.441105528
282	3.440573748
283	3.44021744
284	3.439976477
285	3.438979247
286	3.438258851
287	3.438010514
288	3.43586949
289	3.435657883
290	3.434844619
291	3.434626384
292	3.432806205
293	3.432639857
294	3.432285581
295	3.431971174
296	3.429346142
297	3.429272375
298	3.428692515
299	3.428487202
300	3.428075164
301	3.427052049
302	3.425438384
303	3.421437897
304	3.421097659
305	3.420803421
306	3.417548642
307	3.417294318
308	3.41527123
309	3.412651212
310	3.411913625
311	3.411410877
312	3.410709384
313	3.407845376
314	3.406296316
315	3.403583079
316	3.401960351
317	3.401777686
318	3.399053303
319	3.396562143
320	3.396379778
321	3.395949068
322	3.394519939
323	3.394358847
324	3.393035275
325	3.391744091
326	3.391095046
327	3.390403935
328	3.389905986
329	3.388747379
330	3.387399881
331	3.387191979
332	3.386811063
333	3.386221906
334	3.385823825
335	3.385049714
336	3.384495095
337	3.383844408
338	3.38164628
339	3.38114179
340	3.380609818
341	3.379691552
342	3.378754583
343	3.377186875
344	3.375813615
345	3.375425647
346	3.373265866
347	3.373112262
348	3.372169628
349	3.371493905
350	3.367614172
351	3.367255115
352	3.364871963
353	3.363364932
354	3.363189743
355	3.361028938
356	3.360193
357	3.358853297
358	3.35759304
359	3.356406473
360	3.355857329
361	3.355234733
362	3.354601363
363	3.352872468
364	3.352395371
365	3.351679306
366	3.350836129
367	3.350251522
368	3.349891677
369	3.349573204
370	3.349245421
371	3.346596138
372	3.344943259
373	3.343975687
374	3.34270391
375	3.342373491
376	3.341471546
377	3.340784521
378	3.339527671
379	3.338912856
380	3.336411623
381	3.336155592
382	3.335650147
383	3.335626446
384	3.335402205
385	3.334292703
386	3.333619086
387	3.332758916
388	3.330722772
389	3.329550095
390	3.328774004
391	3.32694465
392	3.325413391
393	3.324912445
394	3.323998535
395	3.322178953
396	3.322041117
397	3.31996533
398	3.319121077
399	3.317662318
400	3.316126919
401	3.315599916
402	3.312754896
403	3.31203693
404	3.310987671
405	3.310155583
406	3.309737584
407	3.307921466
408	3.305231935
409	3.304141056
410	3.303395952
411	3.302418915
412	3.300713188
413	3.299329439
414	3.298526092
415	3.298411937
416	3.297371054
417	3.297080669
418	3.296486013
419	3.296186619
420	3.295696341
421	3.295622513
422	3.295498716
423	3.294988484
424	3.294510614
425	3.293627499
426	3.292656604
427	3.292285476
428	3.291422552
429	3.291328963
430	3.291325279
431	3.291239821
432	3.290216031
433	3.290135944
434	3.289547999
435	3.289294231
436	3.288782812
437	3.288598367
438	3.287232745
439	3.287069399
440	3.286333487
441	3.284714292
442	3.283201352
443	3.282721824
444	3.282537652
445	3.281605623
446	3.279049104
447	3.278601704
448	3.278460438
449	3.277214425
450	3.275224913
451	3.275095815
452	3.27493632
453	3.274641079
454	3.272911891
455	3.272220277
456	3.271315242
457	3.270716414
458	3.270092731
459	3.269992786
460	3.269697389
461	3.269120033
462	3.266886333
463	3.264732425
464	3.264022565
465	3.26376934
466	3.262615012
467	3.26217806
468	3.262064826
469	3.261908002
470	3.261788521
471	3.260521234
472	3.26020363
473	3.260040801
474	3.259807283
475	3.259569338
476	3.259143075
477	3.259002562
478	3.25823158
479	3.257954797
480	3.256914934
481	3.256553374
482	3.255833039
483	3.255417795
484	3.253287348
485	3.251883978
486	3.251225698
487	3.250800869
488	3.250141695
489	3.248176066
490	3.246778337
491	3.245552569
492	3.244946349
493	3.244779464
494	3.244694572
495	3.244381042
496	3.243840178
497	3.24354115
498	3.243193198
499	3.242840365
