iter	Passed	Remaining
0	177	88565
1	207	51714
2	236	39189
3	264	32741
4	296	29386
5	329	27090
6	359	25325
7	389	23970
8	420	22960
9	450	22087
10	486	21628
11	526	21420
12	562	21078
13	599	20809
14	636	20567
15	672	20357
16	709	20170
17	748	20041
18	789	19977
19	825	19818
20	860	19617
21	894	19432
22	929	19286
23	962	19091
24	994	18902
25	1026	18705
26	1068	18719
27	1106	18649
28	1141	18538
29	1168	18312
30	1197	18110
31	1224	17909
32	1252	17731
33	1279	17534
34	1307	17372
35	1337	17242
36	1366	17099
37	1393	16944
38	1422	16820
39	1451	16687
40	1478	16549
41	1504	16408
42	1531	16278
43	1560	16169
44	1591	16087
45	1619	15982
46	1648	15886
47	1683	15854
48	1716	15801
49	1751	15766
50	1786	15728
51	1823	15712
52	1858	15671
53	1889	15608
54	1923	15564
55	1958	15529
56	1981	15397
57	2014	15351
58	2048	15314
59	2080	15254
60	2106	15161
61	2133	15070
62	2167	15032
63	2193	14943
64	2221	14868
65	2254	14822
66	2286	14778
67	2317	14720
68	2347	14665
69	2377	14606
70	2404	14529
71	2433	14464
72	2459	14388
73	2478	14266
74	2505	14197
75	2534	14138
76	2560	14066
77	2588	14004
78	2616	13942
79	2643	13876
80	2669	13808
81	2697	13749
82	2726	13696
83	2753	13635
84	2782	13587
85	2810	13529
86	2821	13392
87	2847	13332
88	2876	13284
89	2904	13230
90	2933	13182
91	2959	13126
92	2985	13067
93	3012	13010
94	3041	12967
95	3068	12915
96	3100	12881
97	3128	12834
98	3156	12787
99	3187	12750
100	3216	12708
101	3246	12667
102	3275	12623
103	3327	12671
104	3355	12621
105	3383	12578
106	3413	12537
107	3442	12494
108	3470	12448
109	3496	12397
110	3524	12350
111	3550	12298
112	3576	12248
113	3598	12185
114	3629	12149
115	3654	12098
116	3682	12053
117	3707	12001
118	3734	11955
119	3758	11901
120	3783	11851
121	3810	11807
122	3835	11755
123	3859	11702
124	3885	11657
125	3912	11613
126	3943	11581
127	3972	11546
128	3999	11503
129	4026	11460
130	4060	11437
131	4087	11396
132	4114	11354
133	4145	11323
134	4173	11282
135	4200	11242
136	4228	11203
137	4256	11165
138	4285	11130
139	4312	11088
140	4341	11053
141	4370	11018
142	4402	10990
143	4431	10954
144	4460	10919
145	4490	10886
146	4516	10844
147	4546	10814
148	4577	10783
149	4604	10743
150	4634	10711
151	4668	10689
152	4707	10675
153	4745	10662
154	4779	10638
155	4818	10624
156	4858	10613
157	4888	10580
158	4917	10547
159	4946	10512
160	4979	10484
161	5008	10450
162	5044	10428
163	5075	10397
164	5105	10365
165	5138	10338
166	5168	10305
167	5198	10273
168	5227	10239
169	5253	10198
170	5284	10167
171	5314	10134
172	5339	10092
173	5365	10051
174	5390	10010
175	5415	9968
176	5438	9924
177	5463	9883
178	5489	9843
179	5513	9801
180	5537	9759
181	5565	9724
182	5590	9684
183	5618	9649
184	5645	9612
185	5669	9571
186	5693	9529
187	5719	9491
188	5745	9453
189	5771	9416
190	5796	9376
191	5820	9336
192	5844	9296
193	5869	9258
194	5894	9218
195	5919	9181
196	5943	9142
197	5969	9105
198	5993	9065
199	6019	9029
200	6044	8990
201	6070	8955
202	6093	8915
203	6119	8878
204	6144	8842
205	6171	8808
206	6196	8770
207	6219	8731
208	6243	8693
209	6267	8655
210	6291	8617
211	6315	8579
212	6342	8546
213	6367	8509
214	6390	8470
215	6413	8432
216	6439	8397
217	6463	8361
218	6487	8323
219	6513	8289
220	6537	8252
221	6561	8216
222	6585	8180
223	6608	8143
224	6636	8111
225	6660	8075
226	6686	8041
227	6710	8005
228	6734	7969
229	6757	7933
230	6782	7897
231	6808	7864
232	6831	7828
233	6859	7797
234	6886	7765
235	6915	7735
236	6943	7704
237	6968	7671
238	6993	7637
239	7018	7603
240	7043	7569
241	7071	7538
242	7098	7507
243	7130	7480
244	7164	7456
245	7196	7430
246	7226	7401
247	7252	7368
248	7279	7337
249	7308	7308
250	7340	7282
251	7372	7255
252	7405	7229
253	7435	7200
254	7466	7173
255	7499	7147
256	7533	7122
257	7565	7096
258	7599	7071
259	7628	7041
260	7660	7014
261	7692	6987
262	7724	6960
263	7753	6931
264	7782	6901
265	7813	6873
266	7843	6844
267	7877	6819
268	7906	6789
269	7937	6761
270	7966	6731
271	7994	6701
272	8024	6672
273	8056	6644
274	8086	6616
275	8117	6587
276	8151	6562
277	8183	6535
278	8214	6506
279	8251	6483
280	8288	6459
281	8351	6456
282	8386	6430
283	8423	6406
284	8455	6378
285	8486	6349
286	8512	6317
287	8539	6286
288	8566	6254
289	8591	6221
290	8620	6191
291	8647	6160
292	8679	6132
293	8708	6102
294	8736	6071
295	8776	6048
296	8805	6018
297	8831	5986
298	8862	5958
299	8895	5930
300	8928	5902
301	8959	5874
302	8990	5845
303	9020	5815
304	9047	5784
305	9073	5752
306	9103	5723
307	9130	5691
308	9158	5661
309	9187	5631
310	9214	5599
311	9245	5571
312	9273	5540
313	9300	5508
314	9328	5478
315	9355	5447
316	9381	5415
317	9410	5386
318	9438	5355
319	9464	5323
320	9491	5293
321	9523	5264
322	9551	5233
323	9580	5204
324	9609	5174
325	9639	5145
326	9670	5116
327	9702	5087
328	9730	5057
329	9757	5026
330	9787	4997
331	9812	4965
332	9841	4935
333	9870	4905
334	9898	4875
335	9932	4848
336	9962	4818
337	9992	4789
338	10022	4759
339	10051	4730
340	10078	4699
341	10108	4669
342	10136	4639
343	10165	4610
344	10193	4579
345	10221	4549
346	10247	4518
347	10281	4490
348	10311	4461
349	10341	4432
350	10372	4402
351	10401	4373
352	10428	4342
353	10455	4312
354	10482	4281
355	10508	4250
356	10535	4219
357	10563	4190
358	10590	4159
359	10617	4128
360	10646	4099
361	10679	4071
362	10709	4041
363	10744	4014
364	10778	3986
365	10808	3957
366	10837	3927
367	10864	3896
368	10893	3867
369	10922	3837
370	10952	3808
371	10980	3778
372	11008	3748
373	11036	3718
374	11065	3688
375	11091	3657
376	11119	3627
377	11149	3598
378	11194	3574
379	11222	3543
380	11248	3513
381	11275	3483
382	11312	3455
383	11339	3425
384	11365	3394
385	11393	3364
386	11418	3334
387	11444	3303
388	11473	3273
389	11499	3243
390	11526	3213
391	11553	3183
392	11581	3153
393	11611	3123
394	11640	3094
395	11669	3064
396	11696	3034
397	11724	3004
398	11750	2974
399	11777	2944
400	11807	2915
401	11855	2890
402	11892	2862
403	11922	2833
404	11957	2804
405	11986	2775
406	12016	2745
407	12044	2715
408	12073	2686
409	12102	2656
410	12132	2627
411	12159	2597
412	12189	2567
413	12218	2538
414	12247	2508
415	12278	2479
416	12312	2450
417	12344	2421
418	12372	2391
419	12400	2362
420	12428	2332
421	12456	2302
422	12486	2272
423	12513	2243
424	12545	2213
425	12580	2185
426	12616	2156
427	12651	2128
428	12685	2099
429	12718	2070
430	12741	2039
431	12772	2010
432	12805	1981
433	12837	1952
434	12870	1923
435	12902	1893
436	12930	1864
437	12961	1834
438	12988	1804
439	13016	1774
440	13043	1744
441	13069	1714
442	13095	1684
443	13122	1655
444	13151	1625
445	13181	1595
446	13214	1566
447	13246	1537
448	13277	1508
449	13312	1479
450	13347	1450
451	13380	1420
452	13413	1391
453	13448	1362
454	13479	1333
455	13511	1303
456	13540	1274
457	13573	1244
458	13600	1214
459	13631	1185
460	13666	1156
461	13697	1126
462	13727	1096
463	13753	1067
464	13781	1037
465	13809	1007
466	13840	978
467	13872	948
468	13903	918
469	13933	889
470	13965	859
471	13997	830
472	14029	800
473	14062	771
474	14094	741
475	14124	712
476	14152	682
477	14181	652
478	14212	623
479	14240	593
480	14267	563
481	14294	533
482	14321	504
483	14349	474
484	14382	444
485	14410	415
486	14437	385
487	14466	355
488	14492	326
489	14518	296
490	14546	266
491	14572	236
492	14599	207
493	14626	177
494	14652	148
495	14679	118
496	14707	88
497	14736	59
498	14768	29
499	14796	0
